S/NO,NAME OF COMPANY,ADDRESS,ZONE,STATE
155,J.A.K. Global Seed Nig. Ltd,"No. 26, Hospital road, Sabon gari, Zaria, Kaduna State",NORTHWEST,KADUNA
156,Jabico Ventures Nig. Ltd,"NO. 25 CLINIC ROAD, TUNGA – MINNA,",North Central,Niger
157,James Patty World Agro Resources,"Block 1A, Enugu Graduate Farmers’ Quarters, Adarice Complex, Adani, Uzo-Uwani L.G.A, Enugu",SOUTH EAST,ENUGU
158,Jenel Seeds Nig. Limited,"No. 57 Parakou Cresent, Wuse 2, FCT",NORTH CENTRAL,FCT
159,Jibko Farms Nig. Limited,"c 133, Oduoye Hosing Estate, Opp State High Court, Minna, Niger State",NORTH CENTRAL,NIGER
160,Jirkur Seed Producers Cooperative Society – maiduguri,"Nassarawa Ward, After community Bank, Gombe Road, Biu, Borno State",North East,Borno
161,JOHN DAVESON PROJECT SEEDS  LTD,"31, Agai Road, Bida, Niger",NORTH CENTRAL,NIGER
162,Jomas Agro Farms,"E.3 IRRA ROAD TUNDUN NUPAWA,KADUNA",North West,Kaduna
163,JORDAN AGRO SERVICES,"110 SAI GODIYA PLAZA, SABON TASHIA, CHIKUN LGA, KADUNA STATE.",NORTH WEST,KADUNA
164,Joy Seeds,"2/3 Gidan Buhari, Zoo Road, Kano",NORTH WEST,KANO
165,Juvacol Agro Allied Company Ltd,"1, damian orji street, umuogem ufuma, oruma LGA, Anambra, state.",South East,Anambra State
166,K. B. Zango Farm Nig. Ltd,"4,OLD GRA, MOHAMMED GONI, ST  MAIDUGURI,BORNO STATE.",North East,Borno
167,Kangiwa Farm Limited,"No. 4, Rabah close, Kaduna State",NORTHWEST,KADUNA
168,Kareji Global Services Ltd,"50A Nsukka Street, Garki, Abuja",NORTH CENTRAL,FCT
169,Kinijay Seed Nig Ltd,"16, Gaskiya Danmagaji Road, Zaria, Kaduna State",NORTH WEST,KADUNA
170,Koop Global Farms Limited,"No.3 Peter Sarki Road, Tunga, Minna, Niger State",NORTH CENTRAL,NIGER
171,Ladele Home Made Foods Ltd,"Offa Meta, Ogbomosho Road, Oyo, Oyo State",SOUTH WEST,
172,Lasam Seeds Nig. Ltd.,"NO 51, UNITY ROAD, KANO",North West,Kano
173,Lead Choice Composite Investment Nig. Ltd.,"No1, C.S.D.P. road block, Jalingo, Taraba State",NORTH EAST,TARABA
174,LFS Agro Allied Company,"D7, Yakwo street Barnawa, Kaduna",NORTHWEST,KADUNA
175,Lumiere Seeds Company Ltd,"BEHIND WELFARE QUARTERS, BESIDE FEVOSON PRY SCHOOL KENSHIA MAKURDI BENUE STATE.",North Central,Benue
176,M/S Sarakunan Noma Farm Enterprises.,"No 225, Igala Housing Estate, Damba Gusau, Zamfara State",NORTH WEST,ZAMFARA
177,M’Billa Farm,"Mayo Belwa Jada Road, Mayo Belwa, Adamawa State.",North East,Adamawa
178,Mac Nathans Agro Allied & Seeds Company Ltd,"Plot 613 works Layout Owerri, Imo State",SOUTH EAST,IMO STATE
179,Madaka Integrated Farms,"100, Amalsco plaza, zoo road, kano",NORTH WEST,KANO
180,Madal Agric & Agro Allied Ltd.,"PLOT 832,JEQUIN ESTATE MABUSHI,FCT, Kwali opp Yangoji",North Central,FCT
181,Madudan Agro Company Limited LIMITED,"No 3 Ilaro Road, Sabon Gari, Kano State",NORTH WEST,KANO
182,Mamora  Seeds Nig. LTD.,"SHOP NO 8, USHAFA RD, BWARI.FCT",North Central,FCT
183,Manuwa & Ninah Nig. Company Ltd.,NO 30 IDI QURTERS GOMBE.,North East,Gombe
184,Marsa Seeds Nig. LTD.,"3, BUK ROAD, KANO.",North West,Kano
185,Mary Vick Seed Nig Ltd,"ilagbe odeda abeokuta, / No 5, Agboke street, Iporoake Abeokuta, ogun state.",SOUTH WEST,OGUN
186,Masrotun Global Agro-Allied Ltd,"1546, N-Gabas ‘A’ Naibawa, Kano State",NORTH WEST,KANO
