Rainfall - (MM), Year, Statistics, Longitude, Latitude
1, 2008, Jan Average, 4.721108, 8.203092
18.10000038147, 2008, Feb Average, 4.721108, 8.203092
37.600002288818, 2008, Mar Average, 4.721108, 8.203092
67.700004577637, 2008, Apr Average, 4.721108, 8.203092
190.90000915527, 2008, May Average, 4.721108, 8.203092
218.60000610352, 2008, Jun Average, 4.721108, 8.203092
265.89999389648, 2008, Jul Average, 4.721108, 8.203092
172.90000915527, 2008, Aug Average, 4.721108, 8.203092
275.70001220703, 2008, Sep Average, 4.721108, 8.203092
160.80000305176, 2008, Oct Average, 4.721108, 8.203092
6.7000002861023, 2008, Nov Average, 4.721108, 8.203092
14.60000038147, 2008, Dec Average, 4.721108, 8.203092
5.3000001907349, 2009, Jan Average, 4.721108, 8.203092
15.900000572205, 2009, Feb Average, 4.721108, 8.203092
40.5, 2009, Mar Average, 4.721108, 8.203092
109, 2009, Apr Average, 4.721108, 8.203092
109.59999847412, 2009, May Average, 4.721108, 8.203092
215.30000305176, 2009, Jun Average, 4.721108, 8.203092
188.80000305176, 2009, Jul Average, 4.721108, 8.203092
169.69999694824, 2009, Aug Average, 4.721108, 8.203092
187.60000610352, 2009, Sep Average, 4.721108, 8.203092
192.19999694824, 2009, Oct Average, 4.721108, 8.203092
23.10000038147, 2009, Nov Average, 4.721108, 8.203092
2.2000000476837, 2009, Dec Average, 4.721108, 8.203092
2.2000000476837, 2010, Jan Average, 4.721108, 8.203092
14.400000572205, 2010, Feb Average, 4.721108, 8.203092
44.5, 2010, Mar Average, 4.721108, 8.203092
87.099998474121, 2010, Apr Average, 4.721108, 8.203092
156.40000915527, 2010, May Average, 4.721108, 8.203092
176.30000305176, 2010, Jun Average, 4.721108, 8.203092
175.19999694824, 2010, Jul Average, 4.721108, 8.203092
224.5, 2010, Aug Average, 4.721108, 8.203092
308.80001831055, 2010, Sep Average, 4.721108, 8.203092
160.60000610352, 2010, Oct Average, 4.721108, 8.203092
37, 2010, Nov Average, 4.721108, 8.203092
1.7000000476837, 2010, Dec Average, 4.721108, 8.203092
0.20000000298023, 2011, Jan Average, 4.721108, 8.203092
49.900001525879, 2011, Feb Average, 4.721108, 8.203092
18.800001144409, 2011, Mar Average, 4.721108, 8.203092
72, 2011, Apr Average, 4.721108, 8.203092
147.19999694824, 2011, May Average, 4.721108, 8.203092
119.80000305176, 2011, Jun Average, 4.721108, 8.203092
150.90000915527, 2011, Jul Average, 4.721108, 8.203092
121.20000457764, 2011, Aug Average, 4.721108, 8.203092
228.60000610352, 2011, Sep Average, 4.721108, 8.203092
213.90000915527, 2011, Oct Average, 4.721108, 8.203092
0, 2011, Nov Average, 4.721108, 8.203092
11.5, 2011, Dec Average, 4.721108, 8.203092
9.5, 2012, Jan Average, 4.721108, 8.203092
31.800001144409, 2012, Feb Average, 4.721108, 8.203092
13.10000038147, 2012, Mar Average, 4.721108, 8.203092
104.5, 2012, Apr Average, 4.721108, 8.203092
168.60000610352, 2012, May Average, 4.721108, 8.203092
181.19999694824, 2012, Jun Average, 4.721108, 8.203092
205.30000305176, 2012, Jul Average, 4.721108, 8.203092
98.300003051758, 2012, Aug Average, 4.721108, 8.203092
291.20001220703, 2012, Sep Average, 4.721108, 8.203092
179.80000305176, 2012, Oct Average, 4.721108, 8.203092
2.9000000953674, 2012, Nov Average, 4.721108, 8.203092
14.699999809265, 2012, Dec Average, 4.721108, 8.203092
6.3000001907349, 2013, Jan Average, 4.721108, 8.203092
0, 2013, Feb Average, 4.721108, 8.203092
31.39999961853, 2013, Mar Average, 4.721108, 8.203092
122.09999847412, 2013, Apr Average, 4.721108, 8.203092
135.5, 2013, May Average, 4.721108, 8.203092
178.90000915527, 2013, Jun Average, 4.721108, 8.203092
121.5, 2013, Jul Average, 4.721108, 8.203092
107.59999847412, 2013, Aug Average, 4.721108, 8.203092
192.69999694824, 2013, Sep Average, 4.721108, 8.203092
114, 2013, Oct Average, 4.721108, 8.203092
8.1999998092651, 2013, Nov Average, 4.721108, 8.203092
12.699999809265, 2013, Dec Average, 4.721108, 8.203092
5.9000000953674, 2014, Jan Average, 4.721108, 8.203092
9.6999998092651, 2014, Feb Average, 4.721108, 8.203092
20.300001144409, 2014, Mar Average, 4.721108, 8.203092
124, 2014, Apr Average, 4.721108, 8.203092
161.5, 2014, May Average, 4.721108, 8.203092
164, 2014, Jun Average, 4.721108, 8.203092
163, 2014, Jul Average, 4.721108, 8.203092
180.5, 2014, Aug Average, 4.721108, 8.203092
319.70001220703, 2014, Sep Average, 4.721108, 8.203092
153.69999694824, 2014, Oct Average, 4.721108, 8.203092
12.900000572205, 2014, Nov Average, 4.721108, 8.203092
0.80000001192093, 2014, Dec Average, 4.721108, 8.203092
0.40000000596046, 2015, Jan Average, 4.721108, 8.203092
10.699999809265, 2015, Feb Average, 4.721108, 8.203092
119.5, 2015, Mar Average, 4.721108, 8.203092
27.300001144409, 2015, Apr Average, 4.721108, 8.203092
126.59999847412, 2015, May Average, 4.721108, 8.203092
198.19999694824, 2015, Jun Average, 4.721108, 8.203092
82.700004577637, 2015, Jul Average, 4.721108, 8.203092
158, 2015, Aug Average, 4.721108, 8.203092
165.5, 2015, Sep Average, 4.721108, 8.203092
163.40000915527, 2015, Oct Average, 4.721108, 8.203092
12.60000038147, 2015, Nov Average, 4.721108, 8.203092
0, 2015, Dec Average, 4.721108, 8.203092
0.20000000298023, 2016, Jan Average, 4.721108, 8.203092
0.20000000298023, 2016, Feb Average, 4.721108, 8.203092
119.80000305176, 2016, Mar Average, 4.721108, 8.203092
65.599998474121, 2016, Apr Average, 4.721108, 8.203092
130.19999694824, 2016, May Average, 4.721108, 8.203092
170.90000915527, 2016, Jun Average, 4.721108, 8.203092
132.60000610352, 2016, Jul Average, 4.721108, 8.203092
186.40000915527, 2016, Aug Average, 4.721108, 8.203092
274.30001831055, 2016, Sep Average, 4.721108, 8.203092
179.5, 2016, Oct Average, 4.721108, 8.203092
2.1000001430511, 2016, Nov Average, 4.721108, 8.203092
1.7000000476837, 2016, Dec Average, 4.721108, 8.203092
0, 2017, Jan Average, 4.721108, 8.203092
0, 2018, Jan Average, 4.721108, 8.203092
0, 2019, Jan Average, 4.721108, 8.203092
0, 2020, Jan Average, 4.721108, 8.203092
